Data Order,Data Size,Algorithm,Running Time (ms),Comparisons
Nearly sorted,300000,counting-sort,2.517,1800001
Nearly sorted,300000,radix-sort,58.055,6000084
Nearly sorted,300000,flash-sort,5.865,3557996
Nearly sorted,500000,selection-sort,186513,2.5E+11
Nearly sorted,500000,insertion-sort,1.37,1500000
Nearly sorted,500000,bubble-sort,15257.1,1000001
Nearly sorted,500000,shaker-sort,8.153,1000002
Nearly sorted,500000,shell-sort,18.253,25500058
Nearly sorted,500000,heap-sort,88.465,37799186
Nearly sorted,500000,merge-sort,126.658,32017850
Nearly sorted,500000,quick-sort,26.674,17737894
Nearly sorted,500000,counting-sort,4.025,3000001
Nearly sorted,500000,radix-sort,96.828,10000084
Nearly sorted,500000,flash-sort,10.106,5929996
Sorted,10000,selection-sort,61.865,100009999
Sorted,10000,insertion-sort,0.024,30000
Sorted,10000,bubble-sort,0.02,20001
Sorted,10000,shaker-sort,0.013,20002
Sorted,10000,shell-sort,0.244,360042
Sorted,10000,heap-sort,1.216,533373
Sorted,10000,merge-sort,2.268,475242
Sorted,10000,quick-sort,0.367,244975
Sorted,10000,counting-sort,0.121,60001
Sorted,10000,radix-sort,1.277,140056
Sorted,10000,flash-sort,0.222,118596
Sorted,30000,selection-sort,523.715,900029999
Sorted,30000,insertion-sort,0.061,90000
Sorted,30000,bubble-sort,0.04,60001
Sorted,30000,shaker-sort,0.064,60002
Sorted,30000,shell-sort,0.875,1170050
Sorted,30000,heap-sort,4.293,1781548
Sorted,30000,merge-sort,7.243,1559914
Sorted,30000,quick-sort,1.247,823646
Sorted,30000,counting-sort,0.283,180001
Sorted,30000,radix-sort,4.761,510070
Sorted,30000,flash-sort,1.463,355796
Sorted,50000,selection-sort,1412.06,2500049999
Sorted,50000,insertion-sort,0.259,150000
Sorted,50000,bubble-sort,0.062,100001
Sorted,50000,shaker-sort,0.081,100002
Sorted,50000,shell-sort,1.474,2100049
Sorted,50000,heap-sort,8.085,3127047
Sorted,50000,merge-sort,13.63,2722826
Sorted,50000,quick-sort,2.242,1467264
Sorted,50000,counting-sort,0.465,300001
Sorted,50000,radix-sort,8.13,850070
Sorted,50000,flash-sort,1.085,592996
Sorted,100000,selection-sort,5780.71,10000099999
Sorted,100000,insertion-sort,0.623,300000
Sorted,100000,bubble-sort,0.159,200001
Sorted,100000,shaker-sort,0.317,200002
Sorted,100000,shell-sort,3.242,4500051
Sorted,100000,heap-sort,16.197,6664226
Sorted,100000,merge-sort,23.984,5745658
Sorted,100000,quick-sort,5.381,3134498
Sorted,100000,counting-sort,1.161,600001
Sorted,100000,radix-sort,16.068,1700070
Sorted,100000,flash-sort,2.253,1185996
Sorted,300000,selection-sort,58531.1,90000299999
Sorted,300000,insertion-sort,0.721,900000
Sorted,300000,bubble-sort,0.38,600001
Sorted,300000,shaker-sort,0.347,600002
Sorted,300000,shell-sort,10.595,15300061
Sorted,300000,heap-sort,52.408,21852070
Sorted,300000,merge-sort,76.743,18645946
Sorted,300000,quick-sort,14.879,10258249
Sorted,300000,counting-sort,2.576,1800001
Sorted,300000,radix-sort,60.987,6000084
Sorted,300000,flash-sort,5.986,3557996
Sorted,500000,selection-sort,169826,2.5E+11
Sorted,500000,insertion-sort,1.691,1500000
Sorted,500000,bubble-sort,0.598,1000001
Sorted,500000,shaker-sort,0.561,1000002
Sorted,500000,shell-sort,25.038,25500058
Sorted,500000,heap-sort,93.869,37799186
Sorted,500000,merge-sort,125.298,32017850
Sorted,500000,quick-sort,29.975,17737894
Sorted,500000,counting-sort,4.636,3000001
Sorted,500000,radix-sort,102.261,10000084
Sorted,500000,flash-sort,10.233,5929996
Reversed,10000,selection-sort,62.649,100009999
Reversed,10000,insertion-sort,81.912,30000
Reversed,10000,bubble-sort,273.342,20001
Reversed,10000,shaker-sort,260.066,20002
Reversed,10000,shell-sort,0.547,360042
Reversed,10000,heap-sort,1.191,533373
Reversed,10000,merge-sort,2.169,475242
Reversed,10000,quick-sort,0.437,244975
Reversed,10000,counting-sort,0.147,60001
Reversed,10000,radix-sort,1.425,140056
Reversed,10000,flash-sort,0.226,118596
Reversed,30000,selection-sort,568.381,900029999
Reversed,30000,insertion-sort,704.799,90000
Reversed,30000,bubble-sort,2350.19,60001
Reversed,30000,shaker-sort,2301.06,60002
Reversed,30000,shell-sort,1.946,1170050
Reversed,30000,heap-sort,4.043,1781548
Reversed,30000,merge-sort,6.936,1559914
Reversed,30000,quick-sort,1.44,823646
Reversed,30000,counting-sort,0.355,180001
Reversed,30000,radix-sort,4.8,510070
Reversed,30000,flash-sort,0.545,355796
Reversed,50000,selection-sort,1611.17,2500049999
Reversed,50000,insertion-sort,2071.09,150000
Reversed,50000,bubble-sort,6488.95,100001
Reversed,50000,shaker-sort,6413.7,100002
Reversed,50000,shell-sort,2.706,2100049
Reversed,50000,heap-sort,7.825,3127047
Reversed,50000,merge-sort,11.727,2722826
Reversed,50000,quick-sort,2.491,1467264
Reversed,50000,counting-sort,0.428,300001
Reversed,50000,radix-sort,8.158,850070
Reversed,50000,flash-sort,0.946,592996
Reversed,100000,selection-sort,6429.49,10000099999
Reversed,100000,insertion-sort,7593.92,300000
Reversed,100000,bubble-sort,36300,200001
Reversed,100000,shaker-sort,35741.5,200002
Reversed,100000,shell-sort,5.417,4500051
Reversed,100000,heap-sort,15.049,6664226
Reversed,100000,merge-sort,26.804,5745658
Reversed,100000,quick-sort,5.106,3134498
Reversed,100000,counting-sort,0.858,600001
Reversed,100000,radix-sort,16.695,1700070
Reversed,100000,flash-sort,1.849,1185996
Reversed,300000,selection-sort,92239.4,90000299999
Reversed,300000,insertion-sort,106831,900000
Reversed,300000,bubble-sort,369538,600001
Reversed,300000,shaker-sort,284283,600002
Reversed,300000,shell-sort,16.529,15300061
Reversed,300000,heap-sort,56.193,21852070
Reversed,300000,merge-sort,79.468,18645946
Reversed,300000,quick-sort,17.918,10258249
Reversed,300000,counting-sort,2.529,1800001
Reversed,300000,radix-sort,61.77,6000084
Reversed,300000,flash-sort,5.545,3557996
Reversed,500000,selection-sort,247266,2.5E+11
